Year	Month	Number of Flight
1998	Jan	438121
1998	Feb	402348
1998	Mar	449856
1998	Apr	435692
1998	May	439900
1998	Jun	433557
1998	Jul	453099
1998	Aug	451184
1998	Sep	411008
1998	Oct	450139
1998	Nov	430109
1998	Dec	445199
1999	Jan	427271
1999	Feb	403104
1999	Mar	453848
1999	Apr	441697
1999	May	450197
1999	Jun	447791
1999	Jul	459174
1999	Aug	467838
1999	Sep	445008
1999	Oct	468543
1999	Nov	447319
1999	Dec	461783
2000	Jan	445962
2000	Feb	429311
2000	Mar	472707
2000	Apr	451621
2000	May	462396
2000	Jun	452468
2000	Jul	467816
2000	Aug	476375
2000	Sep	452732
2000	Oct	475392
2000	Nov	456339
2000	Dec	452438
2001	Jan	510049
2001	Feb	460376
2001	Mar	513243
2001	Apr	502773
2001	May	520488
2001	Jun	504721
2001	Jul	527154
2001	Aug	531033
2001	Sep	391374
2001	Oct	436946
2001	Nov	412889
2001	Dec	425536
2002	Jan	429035
2002	Feb	395212
2002	Mar	441863
2002	Apr	433628
2002	May	445604
2002	Jun	440667
2002	Jul	459313
2002	Aug	461425
2002	Sep	426310
2002	Oct	442041
2002	Nov	411349
2002	Dec	419769
2003	Jan	543768
2003	Feb	480205
2003	Mar	549788
2003	Apr	520969
2003	May	529469
2003	Jun	532335
2003	Jul	550733
2003	Aug	547875
2003	Sep	520023
2003	Oct	547279
2003	Nov	520764
2003	Dec	543863
2004	Jan	566376
2004	Feb	544395
2004	Mar	593809
2004	Apr	578485
2004	May	584076
2004	Jun	579996
2004	Jul	604034
2004	Aug	612944
2004	Sep	567156
2004	Oct	603342
2004	Nov	577273
2004	Dec	589627
2005	Jan	569840
2005	Feb	535827
2005	Mar	607371
2005	Apr	586960
2005	May	608925
2005	Jun	599279
2005	Jul	614110
2005	Aug	617452
2005	Sep	562721
2005	Oct	582237
2005	Nov	560552
2005	Dec	561592
2006	Jan	571500
2006	Feb	519954
2006	Mar	597631
2006	Apr	578747
2006	May	595862
2006	Jun	588227
2006	Jul	610509
2006	Aug	618949
2006	Sep	574987
2006	Oct	600319
2006	Nov	576639
2006	Dec	586664
2007	Jan	605782
2007	Feb	540139
2007	Mar	622332
2007	Apr	603510
2007	May	624768
2007	Jun	612037
2007	Jul	635054
2007	Aug	640984
2007	Sep	593680
2007	Oct	622665
2007	Nov	598870
2007	Dec	592646
2008	Jan	588457
2008	Feb	548640
2008	Mar	599907
2008	Apr	587771
2008	May	600064
2008	Jun	597734
2008	Jul	617333
2008	Aug	602444
2008	Sep	530995
2008	Oct	552956
2008	Nov	518814
2008	Dec	527179
